ID,Content
19,"kosaṃvakisalavaṇṇaa taṇṇaa uṇṇāmiehi kaṇṇehiṃ
hiaaṭṭhiaṃ gharaṃ vaccamāṇa dhavalattaṇaṃ pāva"
20,"aliapasuttaa viṇimīliaccha de suhaa majjha oāsaṃ
gaṃḍapariuṃ vaṇāpulaïaṃga ṇa puṇo cirāissaṃ"
21,"asamatta maṃḍaṇa ccia vacca gharaṃ se sakouhallassa
volāviahalahalaassa putti citte ṇa laggihisi"
22,"āarapaṇāmioṭṭaṃ aghaḍiaṇāsaṃ asaṃhaaṇiḍālaṃ
vaṇṇaghialittamuhie tīe pariuṃvaṇaṃ bharimo"
23,"āṇāsaāi deṃtī taha surae harisaviasiakavolā
gose vi oṇaamuhī aha se tti piaṃ ṇa saddhahimo"
24,"piaviraho appiadaṃsaṇaṃ ca garuāi do vi dukkhāi
jīa tumaṃ kārijjasi tīa ṇamo āhijāīe"
25,"ekko vi kālasāro ṇa dei gaṃtuṃ paāhiṇa calaṃto
kiṃ uṇa vāhāuliaṃ loaṇajualaṃ piaamāe"
26,"ṇa kuṇaṃto ccia māṇaṃ ṇisāsu suhasuttadaravivuddhānaṃ
suṇṇaïapāsaparimusaṇaveaṇaṃ jaï si jānaṃto"
27,"paṇaakuviāṇa doṇha vi aliapasuttāṇa māṇaïllāṇa
ṇiccalaṇiruddhaṇīsāsadiṇṇaaṇṇāṇa ko mallo"
28,"ṇavalaïpaharaṃ aṃge jahiṃ jahiṃ mahaï dearo dāuṃ
romaṃca daṃdarāī tahiṃ tahiṃ dīsaï vahūe"
29,"ajja mae teṇa viṇā aṇuhūasuhāi saṃbharaṃtīe
ahiṇavamehāṇa ravo ṇisāmio vajjhapaḍato vva"
30,"ṇikkiva jāābhīrua duddaṃsaṇa ṇiṃvakīḍasāriccha
gāmo gāmaṇiṇaṃdaṇa tujjha kae taha vitaṇuāi"
31,"paharavaṇamaggavisame jāā kiccheṇa lahaï se ṇiddaṃ
gāmaṇiuttassa ure pallī uṇa se suhaṃ suaï"
32,"aha saṃbhāviamaggo suhaa tue ccea ṇavara ṇivvūḍho
eṇhiṃ hiae aṇṇaṃ aṇṇaṃ vāāi loassa"
33,"uṇhāi ṇīsasaṃto kīsa maha paraṃmuhīa saaṇaddhe
hiaaṃ palīviuṃ aṇusaeṇa puṭṭhiṃ palīvesi"
34,"tuha virahe ciraāraa tissā ṇivaḍaṃtavāhamaïleṇa
raïrahasiharadhaeṇa va muheṇa chāhi ccia ṇa pattā"
35,"diarassa asuddhamaṇassa kulavahūṇiaakuḍḍalihiāi
diahaṃ kahei rāmāṇulaggasomitticariāiṃ"
36,"cattaraghariṇī piadaṃsaṇā a taruṇī paütthavaïāa
asaī saajjiāduggaā a ṇaha khaṃḍiaṃ sīlaṃ"
37,"tālūrabhamāulakhuḍiakesaro giriṇaīapūreṇa
daravuḍḍavuḍḍaṇivvuḍḍamahuaro hīlaï kalaṃvo"
38,"ahiāimāṇiṇo duggaassa chāiṃ païssa rakkhaṃhī
ṇiavaṃdhavāṇa jūraï ghariṇī vihaveṇa eṃtāṇaṃ"
39,"sāhīṇe vi piaame patte vi chaṇe ṇa maṃḍio appā
duggaapaütthavaïaṃ saajjiaṃ saṃṭhavaṃtīe"
40,"tujjha vasaï tti hiaaṃ imehi diṭṭho tumaṃ ti acchīiṃ
tuha virahe kisiāi ti tīe aṃgāi vi piāiṃ"
41,"sabbhāvaṇe habharie ratte rajjijjaï tti juttam iṇaṃ
aṇahiae uṇa hiaaṃ jaṃ dijjaï taṃ jaṇo hasaï"
42,"āraṃbhaṃtassa dhuaṃ lacchī maraṇaṃ va hoi purisassa
taṃ maraṇam aṇāraṃbhe vi hoi lacchī uṇa ṇa hoi"
43,"virahāṇalo sahijjaï āsāvaṃdheṇa vallahajaṇassa
ekkaggāmapavāso māe maraṇaṃ visesei"
44,"akkhaḍaï piā hiae aṇṇaṃ mahilāaṇaṃ ramaṃtassa
diṭṭhe sarisammi guṇe sarisammi guṇe aīsaṃte"
45,"ṇaïpūrasacchahe jovvaṇammi aïpavasiesudiahesu
aṇiattāsu a rāīsu putti kiṃ daḍḍhamāṇeṇa"
46,"kallaṃ kira kharatiao pavasihaï pio tti suvvaï jaṇammi
taha vaḍḍha bhaavaï ṇise jaha se kallaṃ cia ṇa hoi"
47,"hoṃtapahiassa jāā āucchaṇajīadhāraṇarahassaṃ
pucchaṃtī bhamaï gharaṃ ghareṇa piavirahasahirīo"
48,"aṇṇamahilāpasaṃgaṃ de devva karesu amha daïassa
purisā ekkaṃtarasā ṇa hu dosaguṇe viāṇaṃti"
49,"thoaṃ pi ṇa ṇīi imā majjhaṇhe ua sarīratalalukkā
āavabhaeṇa chāhī vi tā pahia kiṃ ṇa vīsamasī"
50,"suhaücchaaṃ jaṇaṃ dullahaṃ pi dūrāhi amha āṇeṃta
uaāraa jara jīaṃ pi ṇeṃta ṇa kaāvarāhosi"
51,"āma jaro me maṃdo ahava ṇa maṃdo jaṇassa kā tattī
suhaücchaa suhaa suaṃdhagaṃdha mā gaṃdhiriṃ chivasu"
52,"sihipicchaluliakese vevaṃtoru viṇimīliaddhacchī
darapurisāini visamiri jāṇasu purisāṇa jaṃ dukkhaṃ"
53,"pemmassa virohiasaṃdhiassa paccakkhadiṭṭhaviliassa
uaassa va tāviasīalassa viraso raso hoi"
54,"vajjavaḍanāirikkaṃ païṇo soūṇa siṃjiṇīghosaṃ
pusiāi karimarīe sarivaṃdīṇaṃ pi acchīiṃ"
55,"karimari aālagajjirajalaāsaṇivaḍaṇapaḍiravo eso
païṇo dhaṇurava kaṃkhiri romaṃcaṃ kiṃ muhā vahasi"
56,"sahaï sahaï tti teṇa tahā ramiā suraaduvviaḍḍeṇa
pavvāasirīsāi va jaha se jāāi aṃgāiṃ"
57,"agaṇiasesajuāṇā vālaa volīṇaloamajjāā
aha sā bhamaï disāmuhapasāriacchī tuha kaeṇa"
58,"ajjaṃ cea paüttho ujjāgarao jaṇassa ajjea
ajjea haliddāpiṃjarāi golāi tūhāiṃ"
59,"asarisacitte diare suddhamaṇā piaame visamasīle
ṇa kahaï kuḍuṃvavihaḍaṇabhaeṇa taṇuāae soṇhā"
60,"ciṃtāṇiadaïasamāgamammi kaamaṇṇuāi bhariūṇa
suṇṇaṃ kalahā aṃtī sahīhi ruṇṇā ṇa ohasiā"
61,"hiaaṇṇuehi samaaṃ asamattāiṃ pi jaha suhāveṃti
kajjāi maṇe ṇa tahā iarehi samāṇiāiṃ pi"
62,"daraphuḍiasippisaṃpuḍaṇilukkahālāhalaggacheppaṇihaṃ
pikkaṃvaṭṭhiviṇiggaakomalam aṃvaṃkuraṃ uaha"
63,"uaha paḍalaṃtaroiṇṇaṇiaataṃtuddhapāapaḍilaggaṃ
dullakkhasuttagutthekkavaülakusumaṃ va makkaḍaaṃ"
64,"uaridaraḍiṭṭhakhaṇṇuaṇilukkapārāvaāṇa viruehiṃ
ṇitthaṇaï jāaviaṇaṃ sūlāhiṇṇaṃ va devaülaṃ"
65,"jaï hosi ṇa tassa piā aṇudiahaṃ ṇīsahehi aṃgehiṃ
ṇavasūapīapeosamattapāḍi vva kiṃ suasi"
66,"hemaṃtiāsu aïdīharāsu rāīsu taṃ si aviṇiddā
ciraarapaütthavaïe ṇa suṃdaraṃ jaṃ diā suasi"
67,"jaï cikkhillabhaüppuapaam iṇam alasāi tuha pae diṇṇaṃ
tā suhaa kaṃḍaïjjaṃtam aṃgam eṇhiṃ kiṇo vahasi"
68,"patto chaṇo ṇa sohaï aïppahāe vva puṇṇimāaṃdo
aṃtaviraso vva kāmo asaṃpaāṇo a parioso"
69,"pāṇiggahaṇe ccia pavvaīa ṇāaṃ sahīhi sohaggaṃ
pasuvaïṇā vāsuikaṃkaṇammi osārie dūraṃ"
70,"giṃhe davaggimasimaïliāi dīsaṃti viṃjhasiharāiṃ
āsasu paütthavaïe ṇa hoṃti ṇavapāusabbhāiṃ"
71,"jettiamettaṃ tīraï ṇivvoḍhuṃ desu tettiaṃ paṇaaṃ
ṇa jaṇo viṇiattapasāadukkhasahaṇakkhamo savvo"
72,"vahuvallahassa jā hoi vallahā kaha vi paṃca diahāiṃ
sā kiṃ chaṭṭhaṃ maggaï katto miṭṭhaṃ ca vahuaṃ ca"
73,"jaṃ jaṃ so ṇijjhāaï aṃgoāsaṃ mahaṃ aṇimisaccho
pacchāemi a taṃ taṃ icchāmi a teṇa dīsaṃtaṃ"
74,"daḍhamaṇṇudūmiāi vi gahio daïammi pechaha imīe
osaraï vāluāmuṭṭhio vva māṇo surasuraṃto"
75,"ua pommarāamaragaasaṃvaliā ṇahaalāu oaraï
ṇahasirikaṃṭhabbhaṭṭha vva kaṃṭhiā kīrariṃcholī"
76,"ṇa vi taha viesavāso doggaccaṃ maha jaṇei saṃtāvaṃ
āsaṃsiatthavimuho jaha paṇaïaṇo ṇiattaṃto"
77,"khaṃdhaggiṇā vaṇesuṃ taṇehi gāmammi rakkhio pahio
ṇaaravasio ṇaḍijjaï sāṇusaeṇa vva sīeṇa"
78,"bharimo se gahiāharadhuasīsapaholirālaāuliaṃ
vaaṇaṃ parimalataraliabhamarālipaïṇṇakamalaṃ va"
79,"hallaphalaṇhāṇapasāhiāṇa chaṇavāsare savattīṇa
ajjāi majjaṇāṇāareṇa kahiaṃ va sohaggaṃ"
80,"ṇhāṇahaliddābhariaṃtarāi jālāi jālavalaassa
sohaṃti kiliṃciakaṃṭaeṇa kaṃ kāhisi kaatthaṃ"
81,"addaṃsaṇeṇa pemmaṃ avei aïdaṃsaṇeṇa vi avei
pisuṇajaṇakaṃpieṇa vi avei emea vi avei"
82,"addaṃsaṇeṇa mahilāaṇassa aïdaṃsaṇeṇa ṇīassa
mukkhassa pisuṇaaṇajaṃpieṇa emea vi khalassa"
83,"poṭṭapaḍiehi dukkhaṃ acchijjaï uṇṇaehi hoūṇa
ia ciṃtaṃtāṇa maṇe thaṇāṇa kasaṇaṃ muhaṃ jāaṃ"
84,"so tujjha kae suṃdari taha jhīṇo sumahilo haliaütto
jaha se macchariṇīa vi doccaṃ jāāi paḍivaṇṇaṃ"
85,"dakkhiṇṇeṇa vi eṃto suhaa suhāvesi aṃha hiaāiṃ
ṇikkaïaveṇa jāṇaṃ gao si kā ṇivvuī tāṇaṃ"
86,"ekkaṃ paharugghāaṃ hatthaṃ muhamārueṇa vīaṃto
so vi hasaṃtīa mae gahio vīeṇa kaṃṭhammi"
87,"avalaṃviamāṇaparaṃmuhīa eṃtassa māṇini piassa
puṭṭhipulaüggamo tuha kahei samuhaṭṭhiaṃ hiaaṃ"
88,"jānaï jāṇāveuṃ aṇuṇaaviddaviamāṇaparisesaṃ
païrikkammi vi viṇaāvalaṃvaṇaṃ sa ccia kuṇaṃtī"
89,"muhamārueṇa taṃ kaṇha goraaṃ rāhiāi avaṇeṃto
eāṇa vallavīṇaṃ aṇṇāṇa vi goraaṃ harasi"
90,"kiṃ dāva kaā ahavā karesi kāhisi a suhaa ettāhe
avarāhāṇa alajjira sāhasu kaarā khamijjaṃti"
91,"ṇūmaṃti je pahuttaṃ kuviaṃ dāsa vva je pasāaṃti
te ccia mahilāṇa piā sesā sāmi ccia varāā"
92,"taïā kaaggha mahuara ṇa ramasi aṇṇāsu pupphajāīsu
vaddhaphalabhāragaruiṃ mālaïm eṇhiṃ pariccaasi"
93,"aviaṇhapecchaṇijjeṇa takkhaṇaṃ māmi teṇa diṭṭheṇa
siviṇaapīeṇa va pāṇieṇa taṇha ccia ṇa phiṭṭā"
94,"suaṇo jaṃ desam alaṃkarei taṃ cia karei pavasaṃto
gāmāsaṇṇummūlia mahāvaḍaṭṭhāṇasāricchaṃ"
95,"so ṇāma saṃbharijjaï pabbhasio jo khaṇaṃ pi hiaāhi
saṃbhariavvaṃ ca kaaṃ gaaṃ ca pemmaṃ ṇirālaṃvaṃ"
96,"ṇāsaṃ va sā kavoleajja vituha daṃtamaṃḍalaṃ vālā
ubbhiṇṇapulaavaïveḍhaparigaaṃ rakkhaï varāī"
97,"diṭṭhā cūā agghāiā surā dakkhiṇāṇilo sahio
kajjāiṃ cia garuāi māmi ko vallaho kassa"
98,"ramiūṇa paaṃ pi gao jāhe uvaūhiuṃ paḍiṇiutto
ahaaṃ paütthavaïa vva takkhaṇaṃ so pavāsi vva"
99,"aviaṇhapecchaṇijjaṃ samasuhadukkhaṃ viiṇṇasabbhāvaṃ
aṇṇoṇṇahiaalaggaṃ puṇṇehi jaṇo jaṇaṃ lahaï"
100,"dukkhaṃ deṃto vi suhaṃ jaṇei jo jassa vallaho hoi
daïaṇahadūmiāṇa vi vaḍḍhaï thaṇaāṇa romaṃco"
101,"dhario dhario vialaï uvaeso piasahīhi dijjaṃto
maaraddhaavāṇapahārajajjare tīa hiaammi"
102,"taḍasaṃṭhiaṇīḍekkaṃtapīluārakkhaṇekkadiṇṇamaṇā
agaṇiaviṇivāabhaā pūreṇa samaṃ vahaï kāī"
103,"vahupupphabharoṇāmiabhūmīgaasāha suṇasu viṇṇattiṃ
golāaḍaviaḍakuḍaṃga mahua saṇiaṃ galijjāsu"
104,"ṇippacchimāi asaī dukkhāloāi mahuapupphāiṃ
cīe vaṃdhussa va aṭṭhiāi ruarī samucciṇaï"
105,"o hiaa maḍahasariājalaraahīraṃtadīhadāru vva
ṭhāṇe ṭhāṇe ccia laggamāṇa keṇā 'vi ḍajjhihisi"
106,"jo tīa ahararāo rattiṃ uvvāsio piaameṇa
so ccia dīsaï gose savattiṇaaṇesu saṃkaṃto"
107,"golāaḍaṭṭhiaṃ pecchiūṇa gahavaïsuaṃ haliasoṇhā
āḍhattā uttariuṃ dukkhuttārāi paavīe"
108,"calaṇoāsaṇisaṇṇassa tassa bharimo aṇālavaṃtassa
pāaṃguṭṭhāveḍhiakesadaḍhāaḍḍhaṇasuhelliṃ"
109,"phālei acchabhallaṃ va uaha kuggāmadeuladdāre
hemaṃtaālapahio vijjhāaṃtaṃ palālaggiṃ"
110,"kamalāarā ṇa maliā haṃsā uḍḍāviā ṇa a piucchā
keṇa vi gāmataḍāe abbhaṃ uttāṇiaṃ chūḍhaṃ"
111,"keṇa maṇe bhaggamaṇoraheṇa saṃlāviaṃ pavāso tti
savisāi va alasāaṃti jeṇa vahuāi aṃgāiṃ"
112,"ajja vi vālo dāmoaro tti ia jaṃpie jasoāe
kaṇhamuhapesiacchaṃ ṇihuaṃ hasiaṃ vaavahūhiṃ"
113,"te viralā sappurisā jāṇa siṇeho ahiṇṇamuharāo
aṇudiaha vaḍḍhamāṇo riṇaṃ va puttesu saṃkamaï"
114,"ṇaccaṇasalāhaṇaṇiheṇa pāsaparisaṃṭhiā ṇiuṇagovī
sarigoviāṇa cuṃvaï kavolapaḍimāgaaṃ kaṇhaṃ"
115,"savvattha disāmuhapasariehi aṇṇoṇṇakaḍaalaggehiṃ
challiṃ va muaï viṃjho mehehi visaṃghaḍaṃtehiṃ"
116,"āloaṃti puliṃdā pavvaasiharaṭṭhiā dhaṇuṇisaṇṇā
hatthiulehi va viṃjhaṃ pūrijjaṃtaṃ ṇavabbhehiṃ"
117,"vaṇadavamasimaïlaṃgo rehaï viṃjho ghaṇehi dhavalehiṃ
khīroamaṃthaṇucchaliaduddhasitto vva mahumahaṇo"
118,"vaṃdīa ṇihaavaṃdhavavimaṇāi vi pakkalo tti corajuvā
aṇurāeṇa pulaïo guṇesu ko maccharaṃ vahaï"
119,"ajja kaïmo vi diaho vāhavahū rūvajovvaṇummattā
sohaggaṃ dhaṇuruṃpacchaleṇa racchāsu vikkiraï"
120,"ukkhippaï maṃḍalimārueṇa gehaṃgaṇāhi vāhīe
sohaggadhaavaḍāa vva uvaha dhaṇuruṃpariṃcholī"
121,"gaagaṃḍatthalaṇihasaṇamaamaïlīkaakaraṃjasāhāhiṃ
eṃtīa kulagharāo ṇāaṃ vāhīa païmaraṇaṃ"
122,"ṇavavahupemmatanuio paṇaaṃ paḍhamaghariṇīa rakkhaṃto
alihiaduppariallaṃ pi ṇei raṇṇaṃ dhaṇuṃ vāho"
123,"hāsāvio jaṇo sāmalīa paḍhamaṃ pasūamāṇāe
vallahavāeṇa alaṃ mama tti vahuso bhaṇaṃtīe"
124,"kaïavarahiaṃ pemmaṃ ṇa tthi ccia māmi māṇuse loe
aha hoi kassa viraho virahe hoṃtammi ko jiaï"
125,"accheraṃ va ṇihiṃ miva sagge rajjaṃ va amaapāṇaṃ va
āsi mha taṃ muhuttaṃ viṇiaṃsaṇadaṃsaṇaṃ tissā"
126,"sā tujjha vallahā taṃ si majjha veso si tīa tujjha ahaṃ
vālaa phuḍaṃ bhaṇāmo pemmaṃ kira vahuviāraṃ ti"
127,"ahaaṃ lajjāluiṇī tassa a ummaccharāi pemmāiṃ
sahiāaṇo vi ṇiuṇo alāhi kiṃ pāarāeṇa"
128,"mahumāsamāruāhaamahuarajhaṃkāraṇibbhare raṇṇe
gāi virahakhharāvaddhapahiamaṇamohaṇaṃ govī"
129,"taha māṇo māṇadhaṇāi tīa emea dūram aṇuvaddho
jaha se aṇuṇīa pio ekkaggāma ccia paüttho"
130,"sāloa ccia sūre ghariṇī gharasāmiassa ghettūṇa
ṇecchaṃtassa vi pāe dhuaï hasaṃtī hasaṃtassa"
131,"vāharaü maṃ sahīo tissā gotteṇa kiṃ tha bhaṇieṇa
thirapemmā hou jahiṃ tahiṃ pi mā kiṃ pi ṇaṃ bhaṇaha"
132,"rūaṃ acchīsu ṭhiaṃ phariso aṃgesu jaṃpiaṃ kaṇṇe
hiaaṃ hiae ṇihiaṃ vioiaṃ kiṃ tha devveṇa"
133,"saaṇe ciṃtāmaïaṃ kāūṇa piaṃ ṇimīliacchīe
appāṇo uvaūḍho pasiḍhilavalaāhi vāhāhiṃ"
134,"paribhūeṇa vi diahaṃ gharagharabhamireṇa aṇṇakajjammi
cirajīvieṇa imiṇā khavia mho ḍaḍḍhakāeṇa"
135,"vasaï jahiṃ cea khalo posijjaṃto siṇehadāṇehiṃ
taṃ cea ālaaṃ dīvao vva aïreṇa maïlei"
136,"hoṃtī vi ṇipphala ccia dhaṇariddhī hoi kiviṇapurisassa
gimhāavasaṃtattassa ṇiaachāhi vva pahiassa"
137,"phurie vāmacchi tae jaï ehii so pio jja tā suiraṃ
sammīlia dāhiṇaaṃ tui aviaṇhaṃ puloissaṃ"
138,"suṇahapaürammi gāme hiṃḍaṃtī tuha kaeṇa sā vālā
pāsaasāri vva gharaṃghareṇa kaïā vi khajjihaï"
139,"aṇṇaṇṇaṃ kusumarasaṃ jaṃ kira so mahaï mahuaro pāuṃ
taṃ ṇīrasāṇa doso kusumāṇaṃ ṇea bhamarassa"
140,"racchāpaïṇṇaṇaaṇuppalā tumaṃ sā paḍicchae eṃtaṃ
dāraṇihiehi dohi vi maṃgalakalasehi va thaṇehiṃ"
141,"tā ruṇṇaṃ jā ruvvaï tā jhīṇaṃ jāva jhijjae aṃgaṃ
tā ṇīsasia varāīa jāva sāsā pahuppaṃti"
142,"samasokkhadukkhaparivaḍḍhiāṇa kāleṇa rūḍhapemmāṇa
mihuṇāṇa maraï jaṃ taṃ khu jiaï iaraṃ muaṃ hoi"
143,"harihii piassa ṇavacūapallavo paḍhamamaṃjarisaṇāho
mā ruasu putti patthāṇakalasamuhasaṃṭhio gamaṇaṃ"
144,"jo kaha vi maha sahīhiṃ chiddaṃ lahiūṇa pesio hiae
so māṇo coriakāmuo vva diṭṭhe pie ṇaṭṭho"
145,"sahiāhi bhaṇṇamāṇā thaṇae laggaṃ kusuṃbhaüpphaṃ ti
muddhavahuā hasijjaï papphoḍaṃtī ṇahavaāiṃ"
146,"ummūleṃti va hiaaṃ imāi re tuha virajjamāṇassa
avahīraṇavasavisãṭhulavalaṃtaṇaaṇaddhadiṭṭhāiṃ"
147,"ṇa muaṃti dīhasāse ṇa ruaṃti ciraṃ ṇa hoṃti kisiāo
dhaṇṇāu tāu jāṇaṃ vahuvallaha vallaho ṇa tumaṃ"
148,"ṇiddālasaparighummirataṃsavalaṃtaddhatāraāloā
kāmassa vi duvvisahā diṭṭhiṇivāā sasimuhīe"
149,"jīviasesāi mae gamiā kaha kaha vi pemmaduddolī
eṇhuṃ viramasu re ḍaḍḍha hiaa mā rajjasu kahiṃ pi"
150,"ajjāi ṇavaṇahakkhaaṇirikkhaṇe garuajovvaṇuttuṃgaṃ
paḍimāgaaṇiaṇaaṇuppalacciaṃ hoi thaṇavaṭṭhaṃ"
151,"taṃ ṇamaha jassa vacche lacchimuhaṃ kotthuhammi saṃkaṃtaṃ
dīsaï maaparihīṇaṃ sasiviṃvaṃ sūraviṃva vva"
152,"mā kuṇa paḍivakkhasuhaṃ aṇuṇesu piaṃ pasāalohillaṃ
aïgahiagaruamāṇeṇa putti rāsi vva jhijjihisi"
153,"virahakaravattadūsaha phālijjaṃtammi tīa hiaammi
aṃsū kajjalamaïlaṃ pamāṇasuttaṃ va paḍihāi"
154,"duṇṇikkhevaam eaṃ puttaa mā sāhasaṃ karijjāsu
ettha ṇihittāi maṇe hiaāi puṇo ṇa labbhaṃti"
155,"ṇivvuttaraā vi vahū suraavirāmaṭṭhiiṃ aāṇaṃtī
aviraahiaā aṇṇaṃ pi kiṃ pi atthi tti ciṃtei"
156,"ṇaṃdaṃtu suraasuharasataṇhāvaharāi saalaloassa
vahukaïavamaggaviṇimmiāi vesāṇa pemmāiṃ"
157,"appattamaṇṇudukkho kiṃ maṃ kisia tti pucchasi hasaṃto
pāvasi jā calacittaṃ piaṃ jaṇaṃ tā tuha kahissaṃ"
158,"avahatthiūṇa sahijaṃpiāi jāṇaṃ kaeṇa ramio si
eāi tāi sokkhāi saṃsao jehi jīassa"
159,"īsāluo paī se rattiṃ mahuaṃ ṇa dei ucceuṃ
uccei appaṇa ccia māe aïujjuasahāo"
160,"acchoḍiavatthaddhaṃtapatthie maṃtharaṃ tumaṃ vacca
ciṃtesi thaṇaharāāsiassa majjhassa vi ṇa bhaṃgaṃ"
161,"uddhaccho piaï jalaṃ jaha jaha viralaṃgulī ciraṃ pahio
pāvāliā vi taha taha dhāraṃ taṇuaṃ pi taṇuei"
162,"bhicchaaro pecchaï ṇāhimaṃḍalaṃ sā vi tassa muhaaṃdaṃ
taṃ caṭṭuaṃ karaṃkaṃ doṇha vi kāā viluṃpaṃti"
163,"jeṇa viṇā ṇa jivijjaï aṇuṇijjaï so kaāvarāho vi
patte vi ṇaaraḍāhe bhaṇa kassa ṇa vallaho aggī"
164,"vaṃkaṃ ko pulaïjjaü kassa kahijjaü suhaṃ va dukkhaṃ va
keṇa samaṃ va hasijjaü pāmarapaüre haaggāme"
165,"phalahīvāhaṇapuṇṇāhamaṃgalaṃ laṃgale kuṇaṃtīe
asaīa maṇorahagabbhiṇīa hatthā tharaharaṃti"
166,"pahiullūraṇasaṃkāulāhi asaīhi vahalatimirassa
āippaṇeṇa ṇihuaṃ vaḍassa sittāi pattāiṃ"
167,"bhaṃjaṃtassa vi tuha saggagāmiṇo ṇaïkaraṃjasāhāo
pāā ajja vi dhammia tuha kaha dharaṇiṃ cia chivaṃti"
168,"acchaü dāva maṇaharaṃ piāi muhadaṃsaṇaṃ aïmahagghaṃ
taggāmachettasīmā vi jhatti diṭṭhā suhāvei"
169,"ṇikkammāhi vi chettāhi pāmaro ṇea vaccae vasahiṃ
muapiajāāsuṇṇaïagehadukkhaṃ pariharaṃto"
170,"jhaṃjhāvāuttiṇagharavivarapaloṭṭaṃtasaliladhārāhiṃ
kuḍḍalihiohidiahaṃ rakkhaï ajjā karaalehiṃ"
171,"golāṇaīa kacche cakkhaṃto rāiāi pattāiṃ
upphaḍaï makkaḍo khokkhei a poṭṭaṃ ca piṭṭei"
172,"gahavaïṇā muaseihaḍuṃḍumadāmaṃ ciraṃ vaheūṇa
vaggasaāiṃ ṇeūṇa ṇavari ajjāhare vaddhaṃ"
173,"sihipehuṇāvaaṃsā vahuā vāhassa gavvirī bhamaï
gaamottiaraïapasāhaṇāṇa majjhe savattīṇa"
174,"vaṃkacchipecchirīṇaṃ vaṃkullavirīṇa vaṃkabhamirīṇaṃ
vaṃkahasirīṇa puttaa puṇṇehi jaṇo pio hoi"
175,"bhama dhammia vīsaddho so suṇaho ajja mārio teṇa
golāaḍaviaḍakuḍuṃgavāsiṇā dariasīheṇa"
176,"vāerieṇa bhariaṃ acchiṃ kaṇṇaraïuppalaraeṇa
phukkaṃto aviaṇhaṃ cuṃvaṃto ko si devvāṇaṃ"
177,"sahi dummeṃti kalaṃvāiṃ jaha maṃ taha ṇa sesakusumāiṃ
ṇūṇaṃ imesu diahesu vahaï guliādhaṇuṃ kāmo"
178,"ṇā 'haṃ dūī ṇa tumaṃ pio tti ko amha ettha vāvāro
sā maraï tujjha aaso eaṃ dhammakkharaṃ bhaṇimo"
179,"tīa muhāhi tuha muhaṃ tujjha muhāo a majjha calaṇammi
hatthāhatthīa gao aïdukkarakārao tilao"
